subject,n_ref,centre_err_median,centre_err_p90,scale_err_median,scale_err_p90,centre_err_EDA,centre_err_HR,centre_err_IMU,centre_err_CROSS
S16,15,0.22900763358778625,0.6978067392536843,0.7706958945263241,0.9541359179570897,0.1846977185320178,0.19150956298130284,0.5202492014143287,0.08473000221021346
S16,20,0.12670014947558586,0.5997491468487959,0.666733555688367,0.921404060079826,0.1921724455553621,0.09540688520943763,0.3326007211344092,0.0426055246479938
S16,25,0.15286962432872084,0.49807340832095454,0.6366287159556564,0.9300823083019549,0.19058059956655815,0.15286962432872084,0.1844856083280889,0.06386868389061869
S16,30,0.1478375396022669,0.4594879923121228,0.6454949476460572,1.0,0.1839460513955843,0.16710195030427866,0.12708038008427402,0.07155257503946011
S16,40,0.2158273381294964,0.4972886844327587,0.7447260225153579,1.0,0.1921724455553621,0.17791079159600873,0.29307592054310283,0.08470680795524005
S16,50,0.16674396765938768,0.6130542125252504,0.7490133644067765,1.0,0.19787580062358695,0.1632403499289076,0.19637825094746952,0.10507148776256489
S16,75,0.17896545400228347,0.5356500123505953,0.6305362331601653,1.0,0.19118651153140007,0.12096710781010807,0.2102848782141381,0.08648623946753885
S16,100,0.1941505375869631,0.5273399268109644,0.625602587558636,1.0,0.15370115272650434,0.12169960632889311,0.25784222941615687,0.09524382302408713
S17,10,0.5718546058837753,2.9627928709628124,0.8466206516537856,1.8615704818810672,1.9119892439295305,0.07929473382326985,0.7121872956064519,2.3743443923968557
S17,15,0.5580693305669383,2.2639071974540386,0.7208271979275228,1.623087941026323,1.4713884392109295,0.08115646488448319,0.7227259161992411,1.7014793070917347
S17,20,0.5253023713960571,1.7600161949727426,0.7221259691748193,0.9597186045993901,1.3149898556497117,0.19862147390842844,0.6766969490342736,1.4284391403994812
S17,25,0.5,1.4220975163209308,0.6682187182480777,0.908518683237738,1.0115840303962356,0.26496088079474184,0.626528231433137,0.7860824431679824
S17,30,0.48268254984098247,0.9079414047945396,0.5,0.8541402586676904,0.5333578929944773,0.36602724452418633,0.5334598984400429,0.7002752060842241
S17,40,0.27573218967642854,0.8275937704846512,0.32870994910766443,0.8224942881863542,0.22694269816019347,0.29132602924092166,0.2501081879710932,0.5205702379843212
S17,50,0.29721022923561125,0.7841841372555395,0.350611339065901,0.7550715736223739,0.5075757575757576,0.37854561282988025,0.27946583429352373,0.4821828624672837
S17,75,0.348474424972429,0.8902150928508892,0.43350782303554064,0.7938149359468736,0.49719117510000854,0.5208496747513955,0.31954961052951747,0.38488337108359794
S17,100,0.3247491237834477,0.8523345698846246,0.3520003389068889,0.7383407271228348,0.33712121212121215,0.5167307418565646,0.31649688066412124,0.2639836169796544
S2,10,1.265244242650927,5.121415679355408,0.4844724961264873,2.727133533382154,3.809655530579255,0.5178726293503857,1.6821514414053327,1.4128532228409332
S2,15,0.9637449954208501,2.857806332266471,0.5607851360541821,3.5528617322025435,2.5699175398425207,0.1852502744900497,1.009776428725486,1.4561404174218846
S2,20,0.5150465428274577,1.7498068475032609,0.5261386997514996,2.0520588123637804,1.1275957180416738,0.04180108061542128,0.6666146414527058,1.227985211141163
S2,25,0.5126915641210299,1.6654737877650514,0.5467419223633506,1.7124533438859255,0.8938960967271674,0.10017591783266296,0.6124633263351182,1.2163474050639642
S2,30,0.5821880109749642,1.7089560842306026,0.5430256169391088,1.0389409263077456,0.7839159820606605,0.06039029171065548,0.764945591322848,1.1461043780490396
S2,40,0.540666923955428,1.1329136956384978,0.5020607794190791,0.9496503496503497,0.6470086958078786,0.04916724193984021,0.7808955239722349,0.8104686350194981
S2,50,0.4576305793196992,0.8927090338723955,0.3655930777734824,0.9744020453988462,0.5137940835412687,0.18747958306636933,0.5521050669302721,0.5181335306782786
S2,75,0.37590038777837853,1.1892492461112059,0.4423260762433832,0.8282641841344393,0.24789682727377843,0.09748614472383976,0.9429974157083987,0.2783105749516559
S2,100,0.25052011897610765,0.8729188813274941,0.31569135874950643,0.7665648239060007,0.1355230899000409,0.14279442318683241,0.5431163248816936,0.1343780435329161
S3,10,0.37666134588992956,1.8289515993282226,0.6194947635656323,0.9177022910925647,1.5009810433726756,0.2635840585407228,0.23625317307219168,1.0247118791031542
S3,15,0.5,1.945788232930711,0.36748828931589816,0.8187327391177041,1.4603360829556287,0.3855371212061326,0.5103939755795125,0.956408055349571
S3,20,0.6435113744789067,1.9882625070151663,0.3206198263027568,0.7570486664882244,1.4258300400311845,0.29287268270422023,0.5751454688898429,1.010683483997328
S3,25,0.5217276083398815,1.7419672645768376,0.3591999131970367,0.783929255168236,1.3840104127903907,0.23065422324410442,0.5265603571637334,0.9976003473875021
S3,30,0.47626504260852526,1.700582861108902,0.2709876206364639,0.5805222721473344,1.3415880189513554,0.335509365323761,0.4210068097033122,1.074288459296549
S3,40,0.3,1.3574448148839926,0.20519387442029308,0.8121571267600916,1.1436607513832433,0.19484553676900782,0.2655130428209365,0.9825601083671752
S3,50,0.31111111111111106,1.1254312577382064,0.1971369860096679,0.6526678300597895,0.9666106364688891,0.1317249502440219,0.2214732437081205,0.8366240770767711
