subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S16,315,0.8825396825396825,0.9026315789473685,0.881604209628102,75,fixed
S17,326,0.9079754601226994,0.8888888888888888,0.9010922330097088,75,fixed
S2,295,0.6915254237288135,0.6007001847709812,0.5717749525435084,75,fixed
S3,301,0.717607973421927,0.6398305084745762,0.6243080130981924,75,fixed
S4,304,0.9638157894736842,0.9673888203299967,0.9621920472147162,75,fixed
S5,314,0.9904458598726115,0.9873949579831933,0.989800227383466,75,fixed
S6,312,0.9967948717948718,0.9958677685950413,0.9966198281745988,75,fixed
S7,311,0.9485530546623794,0.9585492227979275,0.9466323466323466,75,fixed
S8,312,0.9583333333333334,0.9475806451612903,0.9556309139637915,75,fixed
S9,311,0.9807073954983923,0.9747899159663865,0.9793766578249337,75,fixed
S10,351,0.9629629629629629,0.9532407407407407,0.9602307886732266,75,per_n
S11,342,0.8538011695906432,0.8015873015873016,0.8243704038453639,75,per_n
S13,342,0.9064327485380117,0.8831385025155372,0.895192491859797,75,per_n
S14,342,0.6929824561403509,0.5833333333333334,0.5450917797286512,75,per_n
S15,343,0.8425655976676385,0.8744186046511628,0.8410947151681538,75,per_n
S16,340,0.8911764705882353,0.913953488372093,0.8884662783378106,75,per_n
S17,351,0.9145299145299145,0.8888888888888888,0.9050324675324675,75,per_n
S2,320,0.715625,0.6013637723910905,0.581843507230144,75,per_n
S3,326,0.7392638036809815,0.6398305084745762,0.6337127070362586,75,per_n
S4,329,0.9665653495440729,0.9702265763586517,0.9639889747952676,75,per_n
S5,339,0.9911504424778761,0.9873949579831933,0.990231016761923,75,per_n
S6,337,0.9970326409495549,0.9958677685950413,0.9967705767922341,75,per_n
S7,336,0.9523809523809523,0.963302752293578,0.9492063492063492,75,per_n
S8,337,0.9614243323442137,0.9475806451612903,0.9575340473997964,75,per_n
S9,336,0.9821428571428571,0.9747899159663865,0.9802507836990595,75,per_n
S10,326,0.9601226993865031,0.9529377545084352,0.9583640346999125,100,fixed
S11,317,0.8643533123028391,0.8293650793650793,0.8465409513087532,100,fixed
S13,317,0.9085173501577287,0.8989219455122848,0.9029383505960111,100,fixed
S14,317,0.7034700315457413,0.626984126984127,0.6037921497713009,100,fixed
S15,318,0.8867924528301887,0.9052631578947368,0.8860305829882128,100,fixed
S16,315,0.9015873015873016,0.918421052631579,0.9004272502013888,100,fixed
S17,326,0.9386503067484663,0.9259259259259259,0.9351243781094527,100,fixed
S2,295,0.7288135593220338,0.6476952251288535,0.6392319921731686,100,fixed
S3,301,0.7043189368770764,0.6228813559322034,0.5994767137624281,100,fixed
S4,304,0.9572368421052632,0.96524064171123,0.9556786703601108,100,fixed
S5,314,1.0,1.0,1.0,100,fixed
S6,312,0.9743589743589743,0.9775431612651984,0.973232669869595,100,fixed
S7,311,0.9967845659163987,0.9957627118644068,0.9965803507614492,100,fixed
S8,312,0.9743589743589743,0.967741935483871,0.9729166666666667,100,fixed
S9,311,0.977491961414791,0.9705882352941176,0.9758970781988685,100,fixed
S10,326,0.9601226993865031,0.9529377545084352,0.9583640346999125,100,per_n
S11,317,0.8643533123028391,0.8293650793650793,0.8465409513087532,100,per_n
S13,317,0.9085173501577287,0.8989219455122848,0.9029383505960111,100,per_n
