subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S5,389,0.7506426735218509,0.592436974789916,0.5798902212276072,25,per_n
S6,387,0.9043927648578811,0.8516125023302057,0.8787398907566584,25,per_n
S7,386,0.9715025906735751,0.9533898305084746,0.9655007109486086,25,per_n
S8,387,0.9560723514211886,0.9314516129032258,0.9475496878811795,25,per_n
S9,386,0.9974093264248705,0.9957983193277311,0.9969557159193975,25,per_n
S10,326,0.8128834355828221,0.8337987201861548,0.8127971231419507,30,fixed
S11,317,0.8485804416403786,0.8189769799717443,0.8322159491884262,30,fixed
S13,317,0.9022082018927445,0.9153643657028248,0.9002871551348006,30,fixed
S14,317,0.9116719242902208,0.8983420593368238,0.9058229352346999,30,fixed
S15,318,0.8930817610062893,0.9105263157894736,0.892246362367949,30,fixed
S16,315,0.8920634920634921,0.9105263157894736,0.891007897093544,30,fixed
S17,326,0.9447852760736196,0.9333333333333333,0.9417857142857142,30,fixed
S2,295,0.6135593220338983,0.49725274725274726,0.3802521008403361,30,fixed
S3,301,0.7009966777408638,0.6186440677966102,0.5930966113914924,30,fixed
S4,304,1.0,1.0,1.0,30,fixed
S5,314,0.8089171974522293,0.7478991596638656,0.7647940074906368,30,fixed
S6,312,0.9294871794871795,0.9090909090909092,0.9227722772277227,30,fixed
S7,311,0.9646302250803859,0.9533898305084746,0.9617016512734398,30,fixed
S8,312,0.9935897435897436,0.9919354838709677,0.9932894567040909,30,fixed
S9,311,0.9903536977491961,0.9873949579831933,0.9897410522843477,30,fixed
S10,396,0.8434343434343434,0.8704980842911878,0.8374470338983051,30,per_n
S11,387,0.875968992248062,0.8238916256157636,0.8467427892548347,30,per_n
S13,387,0.9147286821705426,0.9308690052741322,0.906933867735471,30,per_n
S14,387,0.9276485788113695,0.9032567049808429,0.9150570676031606,30,per_n
S15,388,0.9123711340206185,0.9346153846153846,0.9063998864765148,30,per_n
S16,385,0.9116883116883117,0.9346153846153846,0.9051614212021097,30,per_n
S17,396,0.9545454545454546,0.9333333333333333,0.9476190476190476,30,per_n
S2,365,0.6876712328767123,0.498015873015873,0.4074675324675325,30,per_n
S3,371,0.7574123989218329,0.6186440677966102,0.6162774662131103,30,per_n
S4,374,1.0,1.0,1.0,30,per_n
S5,384,0.84375,0.7478991596638656,0.7806132165301847,30,per_n
S6,382,0.9424083769633508,0.9090909090909092,0.9297794117647059,30,per_n
S7,381,0.9711286089238845,0.9533898305084746,0.9653134698944754,30,per_n
S8,382,0.9947643979057592,0.9919354838709677,0.9940044574190916,30,per_n
S9,381,0.9921259842519685,0.9873949579831933,0.990770721466349,30,per_n
S10,326,0.941717791411043,0.9437463641652124,0.9403706377858003,40,fixed
S11,317,0.9022082018927445,0.8877877503531953,0.8955563349594533,40,fixed
S13,317,0.9148264984227129,0.9084280461307037,0.9101935890037249,40,fixed
S14,317,0.7602523659305994,0.7078658688606333,0.7144144144144144,40,fixed
S15,318,0.839622641509434,0.8657894736842106,0.8394305119649912,40,fixed
S16,315,0.9492063492063492,0.9578947368421052,0.9479467900520533,40,fixed
S17,326,0.8558282208588958,0.825925925925926,0.8398402793021627,40,fixed
S2,295,0.6745762711864407,0.5752212389380531,0.5264214046822743,40,fixed
S3,301,0.717607973421927,0.6398305084745762,0.6243080130981924,40,fixed
S4,304,0.9671052631578947,0.9732620320855615,0.9657719329850477,40,fixed
S5,314,0.856687898089172,0.8109243697478992,0.8316955511881365,40,fixed
S6,312,0.9871794871794872,0.9834710743801653,0.9864152915052031,40,fixed
S7,311,0.9614147909967846,0.9491525423728814,0.9581389088298635,40,fixed
S8,312,0.9903846153846154,0.9879032258064516,0.9899197673792473,40,fixed
S9,311,0.9807073954983923,0.9747899159663865,0.9793766578249337,40,fixed
